Song ID,Token ID,Term Frequency,Inverse Document Frequency,TF-IDF
1,under,5,0.9162907318741551,4.5814536593707755
6,under,1,0.9162907318741551,0.9162907318741551
7,under,1,0.9162907318741551,0.9162907318741551
8,under,2,0.9162907318741551,1.8325814637483102
9,under,1,0.9162907318741551,0.9162907318741551
15,under,1,0.9162907318741551,0.9162907318741551
1,youve,1,2.70805020110221,2.70805020110221
2,north,2,2.70805020110221,5.41610040220442
2,breast,1,2.70805020110221,2.70805020110221
3,feet,1,2.70805020110221,2.70805020110221
4,strong,1,2.0149030205422647,2.0149030205422647
5,strong,1,2.0149030205422647,2.0149030205422647
4,not,1,0.7621400520468967,0.7621400520468967
5,not,1,0.7621400520468967,0.7621400520468967
6,not,4,0.7621400520468967,3.048560208187587
7,not,2,0.7621400520468967,1.5242801040937934
11,not,2,0.7621400520468967,1.5242801040937934
12,not,3,0.7621400520468967,2.2864201561406903
15,not,1,0.7621400520468967,0.7621400520468967
5,body,1,2.0149030205422647,2.0149030205422647
7,body,1,2.0149030205422647,2.0149030205422647
5,sands,1,2.70805020110221,2.70805020110221
6,straighten,1,2.70805020110221,2.70805020110221
6,miss,2,2.0149030205422647,4.029806041084529
7,miss,2,2.0149030205422647,4.029806041084529
6,deep,1,1.6094379124341003,1.6094379124341003
7,deep,2,1.6094379124341003,3.2188758248682006
9,deep,1,1.6094379124341003,1.6094379124341003
6,beautiful,1,2.70805020110221,2.70805020110221
6,control,1,2.0149030205422647,2.0149030205422647
8,control,1,2.0149030205422647,2.0149030205422647
6,buy,3,2.70805020110221,8.12415060330663
6,forget,1,2.70805020110221,2.70805020110221
6,ring,3,2.70805020110221,8.12415060330663
6,diamond,1,2.70805020110221,2.70805020110221
7,cement,1,2.70805020110221,2.70805020110221
7,president,2,2.70805020110221,5.41610040220442
7,underpass,1,2.70805020110221,2.70805020110221
7,show,1,2.70805020110221,2.70805020110221
7,tommy,1,2.70805020110221,2.70805020110221
7,riding,1,2.70805020110221,2.70805020110221
7,wife,1,2.70805020110221,2.70805020110221
7,vile,1,2.70805020110221,2.70805020110221
7,twice,1,2.70805020110221,2.70805020110221
7,jack,3,2.70805020110221,8.12415060330663
7,speaking,1,2.70805020110221,2.70805020110221
7,court,1,2.70805020110221,2.70805020110221
7,club,1,2.70805020110221,2.70805020110221
7,pastor,1,2.70805020110221,2.70805020110221
7,harold,1,2.70805020110221,2.70805020110221
7,lord,1,2.70805020110221,2.70805020110221
8,tired,6,2.70805020110221,16.24830120661326
9,piece,1,2.70805020110221,2.70805020110221
9,fit,1,2.70805020110221,2.70805020110221
10,easy,1,2.70805020110221,2.70805020110221
